analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR1,12.0,5.5,0.72,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR1/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,6.5,9.027777777777779,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR2,1.0,1.25,0.26,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR2/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-0.25,-0.9615384615384615,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2015-02-eff,ATLAS,13,3.2,SR3,1.0,1.03,0.18,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-02-eff/SR3/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,-0.030000000000000027,-0.16666666666666682,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.13810005754088728
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jl,263.0,283.0,24.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jl/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,-20.0,-0.8333333333333334,0.0,0.0,-0.40520708046367415,0.0,0.0,0,-0.40520708046367415,-0.40110792684252644
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jm,191.0,191.0,21.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jm/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,0.0,0.0,0.0,0.0,-0.40520708046367415,0.0,0.0,0,-0.40520708046367415,-0.40110792684252644
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR2jt,26.0,23.0,4.0,,,2.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR2jt/dataInfo.txt,,,,2.0,,,,,,,2.0,,0,0,0,0,0,0,,,,2.0,,,3.0,0.75,0.0,0.0,-0.40520708046367415,0.0,0.0,0,-0.40520708046367415,-0.40110792684252644
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR4jt,7.0,4.1,1.1,,,4.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR4jt/dataInfo.txt,,,,4.0,,,,,,,4.0,,0,0,0,0,0,0,,,,4.0,,,2.9000000000000004,2.6363636363636367,0.0,0.0,-0.31275410458699815,0.0,0.0,0,-0.31275410458699815,-0.34109944878706894
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR5j,7.0,13.2,2.2,,,5.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR5j/dataInfo.txt,,,,5.0,,,,,,,5.0,,0,0,0,0,0,0,,,,5.0,,,-6.199999999999999,-2.8181818181818175,0.0,0.0,-0.26652761664866015,0.0,0.0,0,-0.26652761664866015,-0.3110952097593402
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jm,4.0,6.9,1.5,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jm/dataInfo.txt,,,,6.0,,,,,,,6.0,,0,0,0,0,0,0,,,,6.0,,,-2.9000000000000004,-1.9333333333333336,0.0,0.0,-0.22030112871032215,0.0,0.0,0,-0.22030112871032215,-0.2810909707316114
ATLAS-SUSY-2015-06-eff,ATLAS,13,3.2,SR6jt,3.0,4.2,1.2,,,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2015-06-eff/SR6jt/dataInfo.txt,,,,6.0,,,,,,,6.0,,0,0,0,0,0,0,,,,6.0,,,-1.2000000000000002,-1.0000000000000002,0.0,0.0,-0.22030112871032215,0.0,0.0,0,-0.22030112871032215,-0.2810909707316114
