analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR1,12.0,5.5,0.72,,,,,,,6.5,9.027777777777779,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14289181129338485
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR2,1.0,1.25,0.26,,,,,,,-0.25,-0.9615384615384615,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14289181129338485
ATLAS-SUSY-2015-02-eff,ATLAS,13.0,3.2,SR3,1.0,1.03,0.18,,,,,,,-0.030000000000000027,-0.16666666666666682,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14289181129338485
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jl,263.0,283.0,24.0,,,2.0,,,,-20.0,-0.8333333333333334,0.0,0.0,-0.9753447883793924,0.0,0.0,0,-0.9753447883793924,-1.057622136453188
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jm,191.0,191.0,21.0,,,2.0,,,,0.0,0.0,0.0,0.0,-0.9753447883793924,0.0,0.0,0,-0.9753447883793924,-1.057622136453188
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR2jt,26.0,23.0,4.0,,,2.0,,,,3.0,0.75,0.0,0.0,-0.9753447883793924,0.0,0.0,0,-0.9753447883793924,-1.057622136453188
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR4jt,7.0,4.1,1.1,,,4.0,,,,2.9000000000000004,2.6363636363636367,0.0,0.0,0.15989258825891683,0.0,0.0,0,0.15989258825891683,0.007063979716418989
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR5j,7.0,13.2,2.2,,,5.0,,,,-6.199999999999999,-2.8181818181818175,0.0,0.0,0.7275112765780715,0.0,0.0,0,0.7275112765780715,0.5394070378012225
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR6jm,4.0,6.9,1.5,,,6.0,,,,-2.9000000000000004,-1.9333333333333336,0.0,0.0,1.295129964897226,0.0,0.0,0,1.295129964897226,1.071750095886026
ATLAS-SUSY-2015-06-eff,ATLAS,13.0,3.2,SR6jt,3.0,4.2,1.2,,,6.0,,,,-1.2000000000000002,-1.0000000000000002,0.0,0.0,1.295129964897226,0.0,0.0,0,1.295129964897226,1.071750095886026
